timestamp_utc,label,gpu_power_w,gpu_util_pct,throughput_samples_per_s,perf_per_w,iterations,measurement_mode
2026-04-06T10:40:39Z,,39.27,25,12.8705,0.327744,,
2026-04-06T10:45:38Z,baseline,37.12,24,12.8661,0.346608,30,
2026-04-06T10:45:41Z,treatment,38.49,24,10.7435,0.279123,30,
2026-04-06T10:53:52Z,baseline,39.84,25,12.5096,0.313996,30,
2026-04-06T10:53:54Z,treatment,39.84,25,7222.9981,181.300153,30,
2026-04-06T11:10:54Z,baseline,38.01,28,10.9407,0.287837,5,
2026-04-06T11:10:54Z,treatment,38.01,28,8992.8060,236.590529,5,
2026-04-06T12:25:17Z,baseline,39.86,24,13.2968,0.333589,1,subprocess
2026-04-06T12:25:17Z,treatment,39.86,24,12.9805,0.325652,1,subprocess
2026-04-06T12:27:15Z,baseline,40.15,24,11.4222,0.284487,1,subprocess
2026-04-06T12:37:17Z,baseline,39.69,25,11.3354,0.285599,30,subprocess
2026-04-06T12:37:20Z,treatment,39.56,25,11.3137,0.285988,30,subprocess
