timestamp_utc,label,gpu_power_w,gpu_util_pct,throughput_samples_per_s,perf_per_w,iterations,measurement_mode
2026-04-06T12:50:51Z,baseline,39.79,23,10.8988,0.273909,5,subprocess
2026-04-06T12:50:52Z,treatment,39.72,23,10.9769,0.276358,5,subprocess
2026-04-06T12:52:21Z,baseline,39.76,25,10.8238,0.272229,3,subprocess
2026-04-06T12:52:22Z,treatment,39.74,25,11.1898,0.281576,3,subprocess
2026-04-06T12:59:32Z,baseline,39.28,26,10.4757,0.266692,30,subprocess
2026-04-06T12:59:35Z,treatment,39.35,25,10.8328,0.275295,30,subprocess
2026-04-06T13:17:36Z,baseline,39.65,24,12.2943,0.310070,30,subprocess
2026-04-06T13:17:39Z,treatment,39.69,26,11.5111,0.290026,30,subprocess
2026-04-06T13:21:08Z,baseline,40.55,26,11.2337,0.277033,30,subprocess
2026-04-06T13:21:11Z,treatment,41.67,26,10.5957,0.254276,30,subprocess
2026-04-06T13:26:42Z,baseline,38.28,25,10.9803,0.286841,30,subprocess
2026-04-06T13:26:44Z,treatment,38.18,25,10.9429,0.286614,30,subprocess
2026-04-06T13:35:24Z,baseline,40.18,24,12.0426,0.299717,30,subprocess
2026-04-06T13:35:27Z,treatment,40.26,23,11.4844,0.285256,30,subprocess
2026-04-06T13:35:55Z,baseline,39.77,25,12.1908,0.306533,30,subprocess
2026-04-06T13:35:58Z,treatment,40.35,24,11.4898,0.284754,30,subprocess
2026-04-06T13:36:26Z,baseline,39.93,25,12.2841,0.307640,30,subprocess
2026-04-06T13:36:29Z,treatment,40.19,27,12.1005,0.301082,30,subprocess
2026-04-06T13:36:57Z,baseline,40.03,24,12.0412,0.300805,30,subprocess
2026-04-06T13:37:00Z,treatment,39.80,25,12.0596,0.303005,30,subprocess
2026-04-06T13:37:28Z,baseline,40.42,24,12.1518,0.300639,30,subprocess
2026-04-06T13:37:30Z,treatment,40.48,24,12.0931,0.298742,30,subprocess
2026-04-06T13:37:58Z,baseline,39.42,24,11.7139,0.297155,30,subprocess
2026-04-06T13:38:01Z,treatment,43.51,24,10.2803,0.236275,30,subprocess
2026-04-06T13:38:29Z,baseline,38.50,24,12.3882,0.321771,30,subprocess
2026-04-06T13:38:32Z,treatment,38.62,24,12.2251,0.316548,30,subprocess
2026-04-06T13:38:59Z,baseline,38.90,25,11.8083,0.303554,30,subprocess
2026-04-06T13:39:02Z,treatment,42.00,24,11.6807,0.278112,30,subprocess
2026-04-06T13:39:30Z,baseline,37.81,24,12.3194,0.325823,30,subprocess
2026-04-06T13:39:32Z,treatment,37.80,25,12.3218,0.325973,30,subprocess
2026-04-06T13:40:00Z,baseline,41.03,28,10.9497,0.266870,30,subprocess
2026-04-06T13:40:03Z,treatment,40.81,24,10.7164,0.262593,30,subprocess
2026-04-06T13:40:31Z,baseline,37.46,25,12.3755,0.330365,30,subprocess
2026-04-06T13:40:33Z,treatment,37.83,25,12.1350,0.320776,30,subprocess
2026-04-06T13:41:01Z,baseline,41.97,24,10.9325,0.260483,30,subprocess
2026-04-06T13:41:04Z,treatment,38.53,25,11.2886,0.292982,30,subprocess
2026-04-06T13:41:31Z,baseline,37.45,24,12.4597,0.332703,30,subprocess
2026-04-06T13:41:34Z,treatment,37.55,24,12.3878,0.329901,30,subprocess
2026-04-06T13:42:02Z,baseline,41.12,25,11.3984,0.277198,30,subprocess
2026-04-06T13:42:04Z,treatment,37.78,24,12.3390,0.326601,30,subprocess
2026-04-06T13:42:32Z,baseline,37.17,24,12.5647,0.338034,30,subprocess
2026-04-06T13:42:35Z,treatment,37.57,25,12.4068,0.330232,30,subprocess
2026-04-06T13:43:02Z,baseline,41.22,24,11.1503,0.270507,30,subprocess
2026-04-06T13:43:05Z,treatment,37.76,25,12.0994,0.320430,30,subprocess
2026-04-06T13:43:33Z,baseline,38.14,25,12.2307,0.320679,30,subprocess
2026-04-06T13:43:36Z,treatment,38.35,24,12.1179,0.315981,30,subprocess
2026-04-06T13:44:04Z,baseline,39.26,25,11.3528,0.289170,30,subprocess
2026-04-06T13:44:07Z,treatment,38.47,24,12.5576,0.326425,30,subprocess
2026-04-06T13:44:36Z,baseline,39.12,25,11.2120,0.286605,30,subprocess
2026-04-06T13:44:38Z,treatment,39.19,22,11.1212,0.283776,30,subprocess
2026-04-06T13:45:07Z,baseline,40.25,25,10.7808,0.267847,30,subprocess
2026-04-06T13:45:10Z,treatment,39.29,26,11.3083,0.287816,30,subprocess
2026-04-06T13:45:38Z,baseline,41.05,26,10.9244,0.266125,30,subprocess
2026-04-06T13:45:41Z,treatment,40.25,26,10.9026,0.270871,30,subprocess
2026-04-06T13:46:10Z,baseline,39.73,25,10.1285,0.254933,30,subprocess
2026-04-06T13:46:13Z,treatment,39.33,25,10.9929,0.279505,30,subprocess
2026-04-06T13:46:42Z,baseline,41.08,24,10.8152,0.263271,30,subprocess
2026-04-06T13:46:45Z,treatment,39.93,27,10.7463,0.269130,30,subprocess
2026-04-06T13:47:13Z,baseline,39.88,26,12.6620,0.317503,30,subprocess
2026-04-06T13:47:16Z,treatment,40.53,27,12.2951,0.303357,30,subprocess
2026-04-06T13:47:43Z,baseline,40.29,22,10.9490,0.271755,30,subprocess
2026-04-06T13:47:46Z,treatment,40.13,24,12.0259,0.299674,30,subprocess
2026-04-06T13:48:14Z,baseline,40.72,25,11.9752,0.294086,30,subprocess
2026-04-06T13:48:16Z,treatment,40.62,24,12.8904,0.317341,30,subprocess
2026-04-06T13:48:44Z,baseline,40.64,24,12.2558,0.301570,30,subprocess
2026-04-06T13:48:46Z,treatment,41.35,27,12.2280,0.295718,30,subprocess
2026-04-06T13:49:14Z,baseline,40.37,24,12.9358,0.320431,30,subprocess
2026-04-06T13:49:16Z,treatment,40.55,25,12.1084,0.298604,30,subprocess
2026-04-06T13:49:44Z,baseline,40.44,24,12.8144,0.316874,30,subprocess
2026-04-06T13:49:46Z,treatment,41.36,24,12.7346,0.307895,30,subprocess
2026-04-06T13:50:14Z,baseline,40.41,24,12.7334,0.315106,30,subprocess
2026-04-06T13:50:16Z,treatment,41.53,25,12.3070,0.296340,30,subprocess
2026-04-06T13:50:44Z,baseline,40.37,24,12.6780,0.314045,30,subprocess
2026-04-06T13:50:47Z,treatment,40.82,24,12.1980,0.298825,30,subprocess
2026-04-06T13:51:14Z,baseline,40.49,25,12.5593,0.310183,30,subprocess
2026-04-06T13:51:17Z,treatment,40.56,23,12.6135,0.310983,30,subprocess
2026-04-06T13:51:44Z,baseline,40.74,25,12.5679,0.308490,30,subprocess
2026-04-06T13:51:47Z,treatment,40.61,24,11.7818,0.290120,30,subprocess
2026-04-06T13:52:14Z,baseline,39.50,25,11.5859,0.293315,30,subprocess
2026-04-06T13:52:17Z,treatment,39.40,25,12.7908,0.324640,30,subprocess
2026-04-06T13:52:44Z,baseline,38.60,24,12.9501,0.335495,30,subprocess
2026-04-06T13:52:47Z,treatment,39.05,24,11.7542,0.301003,30,subprocess
2026-04-06T13:53:15Z,baseline,39.26,24,13.2244,0.336841,30,subprocess
2026-04-06T13:53:17Z,treatment,39.45,27,12.7448,0.323063,30,subprocess
2026-04-06T13:53:44Z,baseline,38.94,25,13.1442,0.337551,30,subprocess
2026-04-06T13:53:47Z,treatment,38.38,24,12.8386,0.334513,30,subprocess
2026-04-06T13:54:14Z,baseline,38.05,24,13.2257,0.347588,30,subprocess
2026-04-06T13:54:16Z,treatment,37.99,23,13.0904,0.344576,30,subprocess
2026-04-06T13:54:43Z,baseline,38.58,25,13.1243,0.340183,30,subprocess
2026-04-06T13:54:45Z,treatment,37.74,24,13.1854,0.349374,30,subprocess
2026-04-06T13:55:12Z,baseline,37.76,24,13.2415,0.350675,30,subprocess
2026-04-06T13:55:15Z,treatment,37.83,24,13.1513,0.347641,30,subprocess
2026-04-06T13:55:42Z,baseline,37.71,24,12.8529,0.340836,30,subprocess
2026-04-06T13:55:44Z,treatment,37.93,24,13.0853,0.344985,30,subprocess
2026-04-06T13:56:13Z,baseline,38.45,24,10.8764,0.282871,30,subprocess
2026-04-06T13:56:15Z,treatment,38.43,24,11.3699,0.295860,30,subprocess
2026-04-06T13:56:43Z,baseline,37.88,24,13.1295,0.346609,30,subprocess
2026-04-06T13:56:46Z,treatment,37.63,25,13.0909,0.347884,30,subprocess
2026-04-06T13:57:13Z,baseline,38.43,24,12.7854,0.332693,30,subprocess
2026-04-06T13:57:15Z,treatment,38.97,26,12.1566,0.311947,30,subprocess
2026-04-06T13:57:44Z,baseline,39.12,25,10.7314,0.274321,30,subprocess
2026-04-06T13:57:46Z,treatment,39.12,22,11.8197,0.302140,30,subprocess
2026-04-06T13:58:14Z,baseline,38.32,23,12.4473,0.324824,30,subprocess
2026-04-06T13:58:17Z,treatment,38.84,24,11.7599,0.302779,30,subprocess
2026-04-06T13:58:45Z,baseline,38.61,26,13.0982,0.339243,30,subprocess
2026-04-06T13:58:47Z,treatment,38.73,25,12.9673,0.334812,30,subprocess
2026-04-06T13:59:16Z,baseline,40.51,25,10.7911,0.266381,30,subprocess
