sample_id,y_true,y_pred_baseline,y_pred_treatment
BR_00001::A,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00002::A,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00003::A,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00004::A,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00005::A,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00006::A,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00007::A,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00008::A,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00009::A,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00010::A,NEUTRAL,DOWN_STRONG,DOWN_STRONG
BR_00011::A,NEUTRAL,DOWN_STRONG,DOWN_STRONG
BR_00012::A,NEUTRAL,DOWN_STRONG,DOWN_STRONG
BR_00013::A,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00014::A,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00015::A,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00016::A,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00017::A,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00018::A,NEUTRAL,DOWN_STRONG,DOWN_STRONG
BR_00019::A,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00020::A,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00021::A,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00022::A,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00023::A,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00024::A,NEUTRAL,DOWN_STRONG,UP_STRONG
BR_00025::A,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00026::A,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00027::A,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00028::A,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00029::A,NEUTRAL,DOWN_STRONG,DOWN_STRONG
BR_00030::A,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00031::A,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00032::A,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00033::A,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00034::A,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00035::A,DOWN_STRONG,DOWN_STRONG,NEUTRAL
BR_00036::A,NEUTRAL,DOWN_STRONG,UP_STRONG
BR_00037::A,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00038::A,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00039::A,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00040::A,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00041::A,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00042::A,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00043::A,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00044::A,NEUTRAL,DOWN_STRONG,UP_STRONG
BR_00045::A,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00046::A,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00047::A,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00048::A,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00049::A,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00050::A,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00051::A,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00052::A,DOWN_STRONG,DOWN_STRONG,NEUTRAL
BR_00053::A,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00054::A,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00055::A,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00056::A,NEUTRAL,DOWN_STRONG,DOWN_STRONG
BR_00057::A,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00058::A,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00059::A,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00060::A,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00001::B,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00002::B,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00003::B,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00004::B,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00005::B,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00006::B,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00007::B,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00008::B,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00009::B,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00010::B,NEUTRAL,DOWN_STRONG,DOWN_STRONG
BR_00011::B,NEUTRAL,DOWN_STRONG,DOWN_STRONG
BR_00012::B,NEUTRAL,DOWN_STRONG,DOWN_STRONG
BR_00013::B,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00014::B,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00015::B,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00016::B,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00017::B,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00018::B,NEUTRAL,DOWN_STRONG,DOWN_STRONG
BR_00019::B,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00020::B,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00021::B,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00022::B,UP_STRONG,DOWN_STRONG,DOWN_STRONG
