sample_id,target_count,match_count,genotype_rsid_count,paper_pmid,priority_score
fp_m3847,4,0,0,30376909,4000
fp_m3848,4,0,0,30376909,4000
fp_m4219,4,0,0,30376909,4000
fp_m14,4,0,0,30376909,4000
fp_m187,4,0,0,30376909,4000
fp_m255,4,0,0,30376909,4000
fp_m3691,4,0,0,30376909,4000
fp_m3722,4,0,0,30376909,4000
fp_m3723,4,0,0,30376909,4000
fp_m4804,4,0,0,30376909,4000
fp_m4805,4,0,0,30376909,4000
fp_m4806,4,0,0,30376909,4000
fp_m4807,4,0,0,30376909,4000
fp_m4808,4,0,0,30376909,4000
fp_m4809,4,0,0,30376909,4000
fp_m4810,4,0,0,30376909,4000
fp_m4811,4,0,0,30376909,4000
fp_m4812,4,0,0,30376909,4000
fp_m4813,4,0,0,30376909,4000
fp_m4814,4,0,0,30376909,4000
fp_m4815,4,0,0,30376909,4000
fp_m4220,4,0,0,30376909,4000
fp_m520,4,0,0,30376909,4000
fp_m521,4,0,0,30376909,4000
fp_m263,4,0,0,30376909,4000
fp_m524,4,0,0,30376909,4000
fp_m4221,4,0,0,30376909,4000
fp_m4222,4,0,0,30376909,4000
fp_m522,4,0,0,30376909,4000
fp_m523,4,0,0,30376909,4000
