sample_id,suggested_parent,suggested_confidence,source_file,priority_score,approved_parent,label_status,reviewer_note
SYN_00253,TE,0.927773,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.892218,,PENDING_HUMAN_LABEL,
SYN_00541,TE,0.927773,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.892218,,PENDING_HUMAN_LABEL,
SYN_00605,TE,0.927773,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.892218,,PENDING_HUMAN_LABEL,
SYN_00859,TE,0.927773,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.892218,,PENDING_HUMAN_LABEL,
SYN_01000,TE,0.927773,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.892218,,PENDING_HUMAN_LABEL,
SYN_00141,SY,0.927195,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.891756,,PENDING_HUMAN_LABEL,
SYN_00410,SY,0.927195,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.891756,,PENDING_HUMAN_LABEL,
SYN_00724,SY,0.927195,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.891756,,PENDING_HUMAN_LABEL,
SYN_00808,SY,0.927195,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.891756,,PENDING_HUMAN_LABEL,
SYN_00912,SY,0.927195,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.891756,,PENDING_HUMAN_LABEL,
SYN_00021,SE,0.864,sasang_predictions_from_btrack_eval_full_mapped_latest.jsonl,0.8912,,PENDING_HUMAN_LABEL,
SYN_00132,TE,0.924946,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.889957,,PENDING_HUMAN_LABEL,
SYN_00249,TE,0.924946,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.889957,,PENDING_HUMAN_LABEL,
